epoch	lr	loss_train	error_eval_p1	error_eval_p2	
1.000000	0.001000	67550.543755	405187.380583	315109.160345	
2.000000	0.001000	41722.164179	382855.220481	318684.091172	
3.000000	0.001000	29417.774029	374102.116829	323796.771800	
4.000000	0.001000	21793.497704	372794.198004	329332.223496	
5.000000	0.001000	18185.801626	361908.219784	301379.177075	
6.000000	0.001000	16673.188172	365680.191261	305814.827592	
7.000000	0.001000	15328.918641	361973.897593	299667.943098	
8.000000	0.001000	14047.598613	372813.411989	309199.247646	
9.000000	0.001000	13383.283783	373488.083107	315710.125909	
10.000000	0.001000	12646.304276	378908.541177	325938.170355	
11.000000	0.001000	12118.363593	380896.795743	332396.036931	
12.000000	0.001000	11752.667467	383738.879365	337190.794572	
13.000000	0.001000	11352.455027	385921.159680	341649.156064	
14.000000	0.001000	11065.826407	387841.984993	346433.601859	
15.000000	0.001000	10830.253719	387094.658303	341587.676560	
16.000000	0.001000	10523.864629	397180.013463	354478.029260	
17.000000	0.001000	10406.672353	394482.067606	352502.379634	
18.000000	0.001000	10214.482013	406692.372198	367075.118797	
19.000000	0.001000	10070.767457	398173.346478	360509.143627	
20.000000	0.001000	9871.744066	406371.647194	372618.259301	
21.000000	0.001000	9727.153651	406697.855189	373553.899203	
22.000000	0.001000	9543.783244	416790.496236	390106.941113	
23.000000	0.001000	9434.903517	409938.689596	385162.977431	
